Id,quantity,price,income,demandshifts,input1,input2
1,5.02026504,1.01310195,5.14656883,0,0.95263664,1.91055391
2,4.59927163,1.91262889,5.11117597,0,0.62956525,1.76033587
3,4.7449765,0.93329269,5.00095146,0,0.78776822,1.69068485
4,4.5548661,1.61687864,5.21196589,1,0.80662751,1.44889496
5,5.19022384,0.19950277,5.19832992,0,1.19734021,1.80253276
6,5.18023847,0.76080787,5.14119943,0,1.16454376,1.83536035
7,5.82202606,-0.45302238,4.9917018,0,1.67664879,2.55619849
8,5.51096478,0.72647889,5.1875002,1,1.35515171,2.32716255
9,5.6985165,0.01760866,5.1109812,0,1.44358932,2.5292825
10,5.24096282,0.4039866,4.8854568,0,1.14039114,2.11354159
11,5.13911141,0.34098768,4.95483661,0,1.04052179,2.14365545
12,4.82198105,0.75802476,4.95911781,1,0.91219616,1.86135199
13,4.80552082,1.24247703,4.97301688,0,0.82427622,1.7072274
14,5.26802864,0.51167404,5.15789761,0,1.14166307,2.15139266
15,5.53104142,0.1377559,5.04347352,0,1.32428746,2.34480504
16,4.93661352,0.89209243,5.16535382,1,0.95945367,1.98327596
17,4.75832841,0.53799196,5.11488376,0,0.62906466,1.67562904
18,4.7183757,1.53012669,5.16690395,0,0.6197862,1.73463834
19,4.86487942,1.60455048,5.18682797,0,0.72645731,1.86642004
20,5.0230127,0.56065076,5.16418858,1,0.99821401,1.96748306
21,5.27218171,0.50528601,5.33499182,0,1.08143712,2.07727806
22,5.34895421,0.51518885,5.19224477,0,1.11454866,2.33440972
23,5.28617819,0.53194204,5.25574245,0,0.99943344,2.20256361
24,5.17824192,1.22212716,5.36460255,1,0.89765977,2.30752874
25,5.47330878,0.20493003,5.20057297,0,1.24429582,2.3286961
26,5.18591066,0.77561882,5.08302063,0,0.93312957,2.06709561
27,5.32966648,0.19617167,5.1277345,0,1.14828651,2.14579932
28,5.11284259,0.4997696,5.2509236,1,1.10256843,1.99614361
29,5.15655579,1.18949685,5.37552286,0,1.04938571,2.11729065
30,4.81981052,1.21177141,5.21217313,0,0.72870356,1.82275175
31,4.70173177,1.4678847,5.32127783,0,0.5436518,1.67151818
32,4.81074219,0.88440876,5.37289249,1,0.63592804,1.98892853
33,5.26160277,0.4514872,5.5575871,0,0.91069209,2.18058731
34,4.97861468,1.14482083,5.48887503,0,0.74914557,2.05424886
35,4.80992225,1.87042818,5.36581331,0,0.72707638,1.70161313
36,5.0656728,-0.05238103,5.56998837,1,0.96516272,1.81547064
37,5.33146681,0.54593136,5.42616604,0,1.19338626,2.21410277
38,5.53693952,0.61498168,5.56348743,0,1.24701715,2.36061964
39,5.60912604,0.97729629,5.73537518,0,1.3026785,2.35339695
